""_id","_labels","Duplex","comuna","desc_conexion","es_modular","estado_puerto","fabricante","host_puerto_id","hostname","ip_gestion","link_id","modelo","modo","num_puertos_conect","num_puertos_totales","owner_switch","puerto_id","region","remote_hostname","role","serial_number","tipo","tipo_puerto","ubicacion","velocidad","vlan","_start","_end","_type"
"87",":Puerto","full","","Conexion a OCCDOR1 / Payload","","activo","","CH-SW-02-LRY_Ethernet1/17","OCCDOR1","","LNK:CH-SW-02-LRY:Ethernet1/17__OCCDOR1","","access","","","CH-SW-02-LRY","Ethernet1/17","","OCCDOR1","","","","físico","","1000.0","655",,,
"88",":Puerto","full","","Conexion a AIRDOR11 / Payload","","activo","","CH-SW-02-LRY_Ethernet1/18","AIRDOR11","","LNK:AIRDOR11__CH-SW-02-LRY:Ethernet1/18","","access","","","CH-SW-02-LRY","Ethernet1/18","","AIRDOR11","","","","físico","","100.0","655",,,
"89",":Puerto","full","","Conexion a LB_B / Payload FE","","activo","","CH-SW-02-LRY_Ethernet1/19","LB_B","","LNK:CH-SW-02-LRY:Ethernet1/19__LB-B","","access","","","CH-SW-02-LRY","Ethernet1/19","","LB_B","","","","físico","","100.0","656",,,
"90",":Puerto","full","","Conexion a LB_B / Payload BE","","activo","","CH-SW-02-LRY_Ethernet1/20","LB_B","","LNK:CH-SW-02-LRY:Ethernet1/20__LB-B","","access","","","CH-SW-02-LRY","Ethernet1/20","","LB_B","","","","físico","","100.0","655",,,
"91",":Puerto","full","","Conexion a LB_A / O&M / MGMT","","activo","","CH-SW-02-LRY_Ethernet1/21","LB_A","","LNK:CH-SW-02-LRY:Ethernet1/21__LB-A","","access","","","CH-SW-02-LRY","Ethernet1/21","","LB_A","","","","físico","","100.0","651",,,
"92",":Puerto","full","","AIRDOR12 / O&M","","activo","","CH-SW-02-LRY_Ethernet1/22","AIRDOR12","","LNK:AIRDOR12__CH-SW-02-LRY:Ethernet1/22","","access","","","CH-SW-02-LRY","Ethernet1/22","","AIRDOR12","","","","físico","","1000.0","651",,,
"93",":Puerto","full","","Conexion a AIRDOR12 / Payload","","activo","","CH-SW-02-LRY_Ethernet1/23","AIRDOR12","","LNK:AIRDOR12__CH-SW-02-LRY:Ethernet1/23","","access","","","CH-SW-02-LRY","Ethernet1/23","","AIRDOR12","","","","físico","","1000.0","655",,,
"94",":Puerto","full","","Conexion a AIRDOR12 / Sigtran2","","activo","","CH-SW-02-LRY_Ethernet1/24","AIRDOR12","","LNK:AIRDOR12__CH-SW-02-LRY:Ethernet1/24","","access","","","CH-SW-02-LRY","Ethernet1/24","","AIRDOR12","","","","físico","","100.0","653",,,
"95",":Puerto","full","","Conexion a AIRDOR13 / O&M","","activo","","CH-SW-02-LRY_Ethernet1/25","AIRDOR13","","LNK:AIRDOR13__CH-SW-02-LRY:Ethernet1/25","","access","","","CH-SW-02-LRY","Ethernet1/25","","AIRDOR13","","","","físico","","100.0","651",,,
"96",":Puerto","full","","Conexion a AIRDOR13 / Payload","","activo","","CH-SW-02-LRY_Ethernet1/26","AIRDOR13","","LNK:AIRDOR13__CH-SW-02-LRY:Ethernet1/26","","access","","","CH-SW-02-LRY","Ethernet1/26","","AIRDOR13","","","","físico","","1000.0","655",,,
